,data,r,percent
0,GeoLife,0.02,0.00238199
1,sensor5,0.768,0.0527397
2,PAMAP2,2.53,0.0301006
3,uniform,5125.78125,0.85966
4,PAMAP2,3.8,0.0700933
5,sensor5,0.024,0.025281
6,GeoLife,1.28,0.0199614
7,PAMAP2,5.7,0.151852
8,PAMAP2,0.5,0.00105075
9,query_local,0.0405,0.0389834
10,sensor5,0.192,0.047969
11,uniform,3417.1875,0.539092
12,query_local,0.018,0.00811558
13,varden,675.0,0.00166721
14,uniform,450.0,0.0149568
15,HT,4.8,0.102007
16,GeoLife,0.32,0.0152934
17,query_local,0.027,0.0197985
18,gowalla,3.2,0.0314353
19,sensor5,0.012,0.0127405
20,simden,2278.125,0.0333588
21,varden,2278.125,0.0116775
22,simden,3417.1875,0.056494
23,sensor5,0.384,0.049975
24,uniform,675.0,0.0326088
25,simden,300.0,0.00126794
26,uniform,2278.125,0.291405
27,GeoLife,0.64,0.0168348
28,varden,1012.5,0.00339448
29,GeoLife,5.12,0.037253
30,HT,0.6,0.00153758
31,varden,450.0,0.000784075
32,varden,200.0,0.000162166
33,PAMAP2,1.6875,0.0126659
34,gowalla,0.2,0.00339659
35,PAMAP2,0.75,0.00229763
36,GeoLife,10.24,0.0619933
37,gowalla,0.4,0.00570335
38,gowalla,0.05,0.000996509
39,simden,1012.5,0.00973431
40,simden,1518.75,0.018366
41,uniform,1012.5,0.0699061
42,PAMAP2,1.125,0.00533528
43,GeoLife,20.48,0.108158
44,gowalla,25.6,0.311563
45,simden,5125.78125,0.092455
46,varden,5125.78125,0.0351135
47,uniform,1518.75,0.145905
48,varden,1518.75,0.00650024
49,uniform,200.0,0.0030578
50,sensor5,0.003,0.00143658
51,gowalla,12.8,0.170267
52,GeoLife,0.04,0.00433679
53,HT,2.4,0.0130674
54,HT,0.3,0.000666835
55,uniform,300.0,0.00678652
56,simden,200.0,0.000613849
57,sensor5,0.096,0.0459488
58,GeoLife,0.08,0.00676289
59,sensor5,0.006,0.00529087
60,gowalla,0.8,0.00920023
61,GeoLife,0.01,0.00110277
62,simden,675.0,0.00504289
63,gowalla,0.1,0.00190673
64,simden,450.0,0.0025565
65,query_local,0.081,0.130327
66,sensor5,0.048,0.0415216
67,query_local,0.012,0.00284432
68,query_local,0.008,0.00092343
69,GeoLife,2.56,0.0243772
70,varden,3417.1875,0.0205261
71,gowalla,6.4,0.0740033
72,GeoLife,0.16,0.0129827
73,HT,1.2,0.003152
74,varden,300.0,0.000359178
75,gowalla,1.6,0.0149481
