,data,name,r,n,thread,time
0,GeoLife,fenwick,0.01,1000,60,14.536286200000001
1,GeoLife,fenwick,0.02,1000,60,19.5763486
2,GeoLife,fenwick,0.04,1000,60,21.807401666666667
3,GeoLife,fenwick,0.08,1000,60,27.060548333333333
4,GeoLife,fenwick,0.16,1000,60,27.50522433333333
5,GeoLife,fenwick,0.32,1000,60,23.0445649
6,GeoLife,fenwick,0.64,1000,60,20.36205736666667
7,GeoLife,fenwick,1.0,1000,60,22.480997233333333
8,GeoLife,fenwick,1.28,1000,60,20.207439333333333
9,GeoLife,fenwick,2.56,1000,60,22.43687063333333
10,GeoLife,fenwick,5.12,1000,60,27.005408966666664
11,GeoLife,fenwick,10.24,1000,60,40.9021344
12,GeoLife,fenwick,20.48,1000,60,45.40270936666667
13,GeoLife,priority,0.01,1000,60,10.498955733333332
14,GeoLife,priority,0.02,1000,60,13.508323666666668
15,GeoLife,priority,0.04,1000,60,14.877445366666665
16,GeoLife,priority,0.08,1000,60,18.745105666666667
17,GeoLife,priority,0.16,1000,60,18.315082633333333
18,GeoLife,priority,0.32,1000,60,12.985880600000002
19,GeoLife,priority,0.64,1000,60,10.392264266666666
20,GeoLife,priority,1.0,1000,60,12.797348733333333
21,GeoLife,priority,1.28,1000,60,10.5268356
22,GeoLife,priority,2.56,1000,60,11.541269633333334
23,GeoLife,priority,5.12,1000,60,16.197048433333332
24,GeoLife,priority,10.24,1000,60,28.929311566666666
25,GeoLife,priority,20.48,1000,60,32.852753066666665
26,GeoLife,static,0.01,1000,60,17.620775666666667
27,GeoLife,static,0.02,1000,60,25.059678233333333
28,GeoLife,static,0.04,1000,60,28.598345999999996
29,GeoLife,static,0.08,1000,60,33.3265903
30,GeoLife,static,0.16,1000,60,32.97154
31,GeoLife,static,0.32,1000,60,25.505463300000002
32,GeoLife,static,0.64,1000,60,22.296354666666666
33,GeoLife,static,1.0,1000,60,25.031864400000003
34,GeoLife,static,1.28,1000,60,23.0176463
35,GeoLife,static,2.56,1000,60,25.226400633333334
36,GeoLife,static,5.12,1000,60,30.635164366666668
37,GeoLife,static,10.24,1000,60,43.96334206666667
38,GeoLife,static,20.48,1000,60,47.23746276666667
39,HT,fenwick,0.3,30,60,0.8064113866666667
40,HT,fenwick,0.5,30,60,0.8472047766666667
41,HT,fenwick,0.6,30,60,0.8536240700000001
42,HT,fenwick,1.2,30,60,1.00321735
43,HT,fenwick,2.4,30,60,1.7001655900000001
44,HT,fenwick,4.8,30,60,8.081734433333335
45,HT,priority,0.3,30,60,0.48570058666666666
46,HT,priority,0.5,30,60,0.5051586
47,HT,priority,0.6,30,60,0.5145819233333334
48,HT,priority,1.2,30,60,0.58394809
49,HT,priority,2.4,30,60,1.5289797333333335
50,HT,priority,4.8,30,60,7.45894367
51,HT,static,0.3,30,60,1.5923444199999999
52,HT,static,0.5,30,60,1.6258312766666667
53,HT,static,0.6,30,60,1.6479970433333335
54,HT,static,1.2,30,60,1.697843956666667
55,HT,static,2.4,30,60,2.475737576666667
56,HT,static,4.8,30,60,8.312179236666667
57,PAMAP2,fenwick,0.02,20,60,0.14813907
58,PAMAP2,fenwick,0.5,20,60,0.054334440000000005
59,PAMAP2,fenwick,0.75,20,60,0.08075266666666667
60,PAMAP2,fenwick,1.125,20,60,0.13222792666666666
61,PAMAP2,fenwick,1.6875,20,60,0.21714501
62,PAMAP2,fenwick,2.53,20,60,0.48528038333333334
63,PAMAP2,fenwick,3.8,20,60,1.05101565
64,PAMAP2,fenwick,5.7,20,60,1.3236040299999998
65,PAMAP2,priority,0.02,20,60,0.5943930296666665
66,PAMAP2,priority,0.5,20,60,0.045479638
67,PAMAP2,priority,0.75,20,60,0.06998771866666667
