,data,name,r,n,thread,part,time
0,GeoLife,fenwick,0.01,1000,60,density computation,9.20161
3,GeoLife,fenwick,0.02,1000,60,density computation,11.493766666666666
6,GeoLife,fenwick,0.04,1000,60,density computation,12.4489
9,GeoLife,fenwick,0.08,1000,60,density computation,15.974800000000002
12,GeoLife,fenwick,0.16,1000,60,density computation,15.492666666666665
15,GeoLife,fenwick,0.32,1000,60,density computation,10.3445
18,GeoLife,fenwick,0.64,1000,60,density computation,7.820740000000001
39,GeoLife,fenwick,1.0,1000,60,density computation,10.198066666666668
42,GeoLife,fenwick,1.28,1000,60,density computation,7.750933333333333
45,GeoLife,fenwick,2.56,1000,60,density computation,8.43728
48,GeoLife,fenwick,5.12,1000,60,density computation,12.908733333333332
51,GeoLife,fenwick,10.24,1000,60,density computation,25.308633333333333
54,GeoLife,fenwick,20.48,1000,60,density computation,28.48136666666667
57,GeoLife,priority,0.01,1000,60,density computation,9.248236666666665
60,GeoLife,priority,0.02,1000,60,density computation,11.603900000000001
63,GeoLife,priority,0.04,1000,60,density computation,12.500099999999998
66,GeoLife,priority,0.08,1000,60,density computation,16.048266666666667
69,GeoLife,priority,0.16,1000,60,density computation,15.432333333333332
72,GeoLife,priority,0.32,1000,60,density computation,10.342333333333334
75,GeoLife,priority,0.64,1000,60,density computation,7.8559633333333325
96,GeoLife,priority,1.0,1000,60,density computation,10.179626666666666
99,GeoLife,priority,1.28,1000,60,density computation,7.71847
102,GeoLife,priority,2.56,1000,60,density computation,8.445076666666667
105,GeoLife,priority,5.12,1000,60,density computation,12.869133333333332
108,GeoLife,priority,10.24,1000,60,density computation,25.378366666666665
111,GeoLife,priority,20.48,1000,60,density computation,28.500199999999996
114,GeoLife,static,0.01,1000,60,density computation,9.198346666666668
117,GeoLife,static,0.02,1000,60,density computation,11.649766666666666
120,GeoLife,static,0.04,1000,60,density computation,12.487733333333333
123,GeoLife,static,0.08,1000,60,density computation,16.021833333333333
126,GeoLife,static,0.16,1000,60,density computation,15.5297
129,GeoLife,static,0.32,1000,60,density computation,10.385333333333334
132,GeoLife,static,0.64,1000,60,density computation,7.792953333333333
153,GeoLife,static,1.0,1000,60,density computation,10.040416666666667
156,GeoLife,static,1.28,1000,60,density computation,7.767953333333334
159,GeoLife,static,2.56,1000,60,density computation,8.456396666666665
162,GeoLife,static,5.12,1000,60,density computation,12.832266666666667
165,GeoLife,static,10.24,1000,60,density computation,25.395033333333334
168,GeoLife,static,20.48,1000,60,density computation,28.529133333333334
189,Gowalla,fenwick,0.03,0,60,density computation,0.22709333333333334
192,Gowalla,fenwick,0.05,0,60,density computation,0.24210600000000002
195,Gowalla,fenwick,0.1,0,60,density computation,0.25560166666666667
198,Gowalla,fenwick,0.2,0,60,density computation,0.271334
201,Gowalla,fenwick,0.4,0,60,density computation,0.26287333333333335
207,Gowalla,fenwick,0.8,0,60,density computation,0.2644396666666667
213,Gowalla,fenwick,1.6,0,60,density computation,0.301862
219,Gowalla,fenwick,3.2,0,60,density computation,0.37887633333333337
225,Gowalla,fenwick,6.4,0,60,density computation,0.4942276666666667
231,Gowalla,fenwick,12.8,0,60,density computation,0.5359253333333334
237,Gowalla,fenwick,25.6,0,60,density computation,0.319416
261,Gowalla,priority,0.03,0,60,density computation,0.23595266666666667
264,Gowalla,priority,0.05,0,60,density computation,0.24946733333333335
267,Gowalla,priority,0.1,0,60,density computation,0.25724733333333333
270,Gowalla,priority,0.2,0,60,density computation,0.269553
273,Gowalla,priority,0.4,0,60,density computation,0.2729806666666667
279,Gowalla,priority,0.8,0,60,density computation,0.263648
285,Gowalla,priority,1.6,0,60,density computation,0.3063023333333333
291,Gowalla,priority,3.2,0,60,density computation,0.3973703333333334
297,Gowalla,priority,6.4,0,60,density computation,0.5021236666666666
303,Gowalla,priority,12.8,0,60,density computation,0.5485300000000001
309,Gowalla,priority,25.6,0,60,density computation,0.3217206666666667
333,Gowalla,static,0.03,0,60,density computation,0.231889
336,Gowalla,static,0.05,0,60,density computation,0.24622166666666667
339,Gowalla,static,0.1,0,60,density computation,0.2579453333333333
342,Gowalla,static,0.2,0,60,density computation,0.27052166666666666
345,Gowalla,static,0.4,0,60,density computation,0.26583633333333334
351,Gowalla,static,0.8,0,60,density computation,0.2612006666666667
357,Gowalla,static,1.6,0,60,density computation,0.3040023333333333
363,Gowalla,static,3.2,0,60,density computation,0.387685
369,Gowalla,static,6.4,0,60,density computation,0.49246066666666666
375,Gowalla,static,12.8,0,60,density computation,0.535583
381,Gowalla,static,25.6,0,60,density computation,0.320026
387,HT,fenwick,0.3,30,60,density computation,0.302364
411,HT,fenwick,0.5,30,60,density computation,0.3140256666666667
414,HT,fenwick,0.6,30,60,density computation,0.32719800000000004
420,HT,fenwick,1.2,30,60,density computation,0.395845
426,HT,fenwick,2.4,30,60,density computation,1.1561466666666667
432,HT,fenwick,4.8,30,60,density computation,6.88182
438,HT,priority,0.3,30,60,density computation,0.3080963333333333
462,HT,priority,0.5,30,60,density computation,0.3222683333333333
465,HT,priority,0.6,30,60,density computation,0.32452233333333336
471,HT,priority,1.2,30,60,density computation,0.3925996666666667
477,HT,priority,2.4,30,60,density computation,1.1517600000000001
483,HT,priority,4.8,30,60,density computation,6.932963333333333
489,HT,static,0.3,30,60,density computation,0.2991066666666667
513,HT,static,0.5,30,60,density computation,0.3223513333333334
516,HT,static,0.6,30,60,density computation,0.32464833333333337
522,HT,static,1.2,30,60,density computation,0.39600233333333335
528,HT,static,2.4,30,60,density computation,1.1221933333333334
534,HT,static,4.8,30,60,density computation,6.808773333333334
558,PAMAP2,fenwick,0.02,20,60,density computation,0.037407333333333334
564,PAMAP2,fenwick,0.5,20,60,density computation,0.037692333333333335
570,PAMAP2,fenwick,0.75,20,60,density computation,0.058099333333333336
576,PAMAP2,fenwick,1.125,20,60,density computation,0.10731733333333333
582,PAMAP2,fenwick,1.6875,20,60,density computation,0.19145866666666667
588,PAMAP2,fenwick,2.53,20,60,density computation,0.4235433333333333
594,PAMAP2,fenwick,3.8,20,60,density computation,0.75429
615,PAMAP2,fenwick,5.7,20,60,density computation,1.1551133333333332
636,PAMAP2,priority,0.02,20,60,density computation,0.036605033333333335
642,PAMAP2,priority,0.5,20,60,density computation,0.03961566666666667
648,PAMAP2,priority,0.75,20,60,density computation,0.062104
654,PAMAP2,priority,1.125,20,60,density computation,0.10601033333333333
660,PAMAP2,priority,1.6875,20,60,density computation,0.19182066666666667
666,PAMAP2,priority,2.53,20,60,density computation,0.38222666666666666
672,PAMAP2,priority,3.8,20,60,density computation,0.6865533333333333
693,PAMAP2,priority,5.7,20,60,density computation,1.22892
714,PAMAP2,static,0.02,20,60,density computation,0.037932633333333333
720,PAMAP2,static,0.5,20,60,density computation,0.03876633333333333
726,PAMAP2,static,0.75,20,60,density computation,0.05919766666666667
732,PAMAP2,static,1.125,20,60,density computation,0.10323633333333333
738,PAMAP2,static,1.6875,20,60,density computation,0.19667366666666666
744,PAMAP2,static,2.53,20,60,density computation,0.3756633333333333
750,PAMAP2,static,3.8,20,60,density computation,0.7409066666666666
771,PAMAP2,static,5.7,20,60,density computation,1.1750333333333334
774,Query,fenwick,0.008,0,60,density computation,0.0066207233333333325
795,Query,fenwick,0.01,0,60,density computation,0.28499066666666667
798,Query,fenwick,0.012,0,60,density computation,0.009673673333333334
801,Query,fenwick,0.018,0,60,density computation,0.0144744
804,Query,fenwick,0.027,0,60,density computation,0.018810666666666667
807,Query,fenwick,0.0405,0,60,density computation,0.020213766666666664
810,Query,fenwick,0.081,0,60,density computation,0.04014156666666666
