,data,name,r,n,thread,part,time
1,GeoLife,fenwick,0.01,1000,60,dependent point finding,5.2655
4,GeoLife,fenwick,0.02,1000,60,dependent point finding,7.9869699999999995
7,GeoLife,fenwick,0.04,1000,60,dependent point finding,9.246966666666667
10,GeoLife,fenwick,0.08,1000,60,dependent point finding,10.974866666666665
13,GeoLife,fenwick,0.16,1000,60,dependent point finding,11.901499999999999
16,GeoLife,fenwick,0.32,1000,60,dependent point finding,12.643033333333333
19,GeoLife,fenwick,0.64,1000,60,dependent point finding,12.504166666666668
40,GeoLife,fenwick,1.0,1000,60,dependent point finding,12.245866666666666
43,GeoLife,fenwick,1.28,1000,60,dependent point finding,12.411700000000002
46,GeoLife,fenwick,2.56,1000,60,dependent point finding,13.956166666666666
49,GeoLife,fenwick,5.12,1000,60,dependent point finding,14.048766666666666
52,GeoLife,fenwick,10.24,1000,60,dependent point finding,15.547366666666667
55,GeoLife,fenwick,20.48,1000,60,dependent point finding,16.880433333333333
58,GeoLife,priority,0.01,1000,60,dependent point finding,1.2161233333333332
61,GeoLife,priority,0.02,1000,60,dependent point finding,1.8507
64,GeoLife,priority,0.04,1000,60,dependent point finding,2.3049733333333333
67,GeoLife,priority,0.08,1000,60,dependent point finding,2.6318
70,GeoLife,priority,0.16,1000,60,dependent point finding,2.7981866666666666
73,GeoLife,priority,0.32,1000,60,dependent point finding,2.5845366666666667
76,GeoLife,priority,0.64,1000,60,dependent point finding,2.5002
97,GeoLife,priority,1.0,1000,60,dependent point finding,2.5860633333333336
100,GeoLife,priority,1.28,1000,60,dependent point finding,2.7758466666666664
103,GeoLife,priority,2.56,1000,60,dependent point finding,3.0622233333333333
106,GeoLife,priority,5.12,1000,60,dependent point finding,3.2889433333333336
109,GeoLife,priority,10.24,1000,60,dependent point finding,3.5104066666666665
112,GeoLife,priority,20.48,1000,60,dependent point finding,4.31869
115,GeoLife,static,0.01,1000,60,dependent point finding,8.38834
118,GeoLife,static,0.02,1000,60,dependent point finding,13.356366666666666
121,GeoLife,static,0.04,1000,60,dependent point finding,16.0321
124,GeoLife,static,0.08,1000,60,dependent point finding,17.234133333333332
127,GeoLife,static,0.16,1000,60,dependent point finding,17.354066666666668
130,GeoLife,static,0.32,1000,60,dependent point finding,15.062566666666667
133,GeoLife,static,0.64,1000,60,dependent point finding,14.462733333333333
154,GeoLife,static,1.0,1000,60,dependent point finding,14.951933333333335
157,GeoLife,static,1.28,1000,60,dependent point finding,15.219166666666666
160,GeoLife,static,2.56,1000,60,dependent point finding,16.738633333333336
163,GeoLife,static,5.12,1000,60,dependent point finding,17.7537
166,GeoLife,static,10.24,1000,60,dependent point finding,18.5243
169,GeoLife,static,20.48,1000,60,dependent point finding,18.671066666666665
190,Gowalla,fenwick,0.03,0,60,dependent point finding,0.54258
193,Gowalla,fenwick,0.05,0,60,dependent point finding,0.44568399999999997
196,Gowalla,fenwick,0.1,0,60,dependent point finding,0.4255636666666667
199,Gowalla,fenwick,0.2,0,60,dependent point finding,0.443599
202,Gowalla,fenwick,0.4,0,60,dependent point finding,0.42402433333333334
208,Gowalla,fenwick,0.8,0,60,dependent point finding,0.49719166666666664
214,Gowalla,fenwick,1.6,0,60,dependent point finding,0.4131723333333333
220,Gowalla,fenwick,3.2,0,60,dependent point finding,0.443916
226,Gowalla,fenwick,6.4,0,60,dependent point finding,0.5353526666666667
232,Gowalla,fenwick,12.8,0,60,dependent point finding,0.4475613333333333
238,Gowalla,fenwick,25.6,0,60,dependent point finding,0.463342
262,Gowalla,priority,0.03,0,60,dependent point finding,0.15617366666666666
265,Gowalla,priority,0.05,0,60,dependent point finding,0.15980266666666665
268,Gowalla,priority,0.1,0,60,dependent point finding,0.157732
271,Gowalla,priority,0.2,0,60,dependent point finding,0.150101
274,Gowalla,priority,0.4,0,60,dependent point finding,0.144178
280,Gowalla,priority,0.8,0,60,dependent point finding,0.13654266666666667
286,Gowalla,priority,1.6,0,60,dependent point finding,0.13937733333333333
292,Gowalla,priority,3.2,0,60,dependent point finding,0.13708166666666666
298,Gowalla,priority,6.4,0,60,dependent point finding,0.14268433333333333
304,Gowalla,priority,12.8,0,60,dependent point finding,0.13230766666666668
310,Gowalla,priority,25.6,0,60,dependent point finding,0.135075
334,Gowalla,static,0.03,0,60,dependent point finding,1.24428
337,Gowalla,static,0.05,0,60,dependent point finding,1.18468
340,Gowalla,static,0.1,0,60,dependent point finding,1.06031
343,Gowalla,static,0.2,0,60,dependent point finding,0.9447199999999999
346,Gowalla,static,0.4,0,60,dependent point finding,0.865236
352,Gowalla,static,0.8,0,60,dependent point finding,0.8110529999999999
358,Gowalla,static,1.6,0,60,dependent point finding,0.8093153333333333
364,Gowalla,static,3.2,0,60,dependent point finding,0.8670649999999999
370,Gowalla,static,6.4,0,60,dependent point finding,0.829651
376,Gowalla,static,12.8,0,60,dependent point finding,0.8195813333333333
382,Gowalla,static,25.6,0,60,dependent point finding,0.7288373333333333
388,HT,fenwick,0.3,30,60,dependent point finding,0.4958036666666667
412,HT,fenwick,0.5,30,60,dependent point finding,0.5249263333333333
415,HT,fenwick,0.6,30,60,dependent point finding,0.5181209999999999
421,HT,fenwick,1.2,30,60,dependent point finding,0.599344
427,HT,fenwick,2.4,30,60,dependent point finding,0.5360693333333334
433,HT,fenwick,4.8,30,60,dependent point finding,1.1905446666666668
439,HT,priority,0.3,30,60,dependent point finding,0.16998733333333335
463,HT,priority,0.5,30,60,dependent point finding,0.1745496666666667
466,HT,priority,0.6,30,60,dependent point finding,0.18224033333333334
472,HT,priority,1.2,30,60,dependent point finding,0.18391866666666667
478,HT,priority,2.4,30,60,dependent point finding,0.36896766666666664
484,HT,priority,4.8,30,60,dependent point finding,0.5168006666666667
490,HT,static,0.3,30,60,dependent point finding,1.2856466666666666
514,HT,static,0.5,30,60,dependent point finding,1.2957366666666665
517,HT,static,0.6,30,60,dependent point finding,1.31552
523,HT,static,1.2,30,60,dependent point finding,1.294266666666667
529,HT,static,2.4,30,60,dependent point finding,1.3275266666666667
535,HT,static,4.8,30,60,dependent point finding,1.4941366666666667
559,PAMAP2,fenwick,0.02,20,60,dependent point finding,0.10952033333333333
565,PAMAP2,fenwick,0.5,20,60,dependent point finding,0.016087066666666667
571,PAMAP2,fenwick,0.75,20,60,dependent point finding,0.021939666666666666
577,PAMAP2,fenwick,1.125,20,60,dependent point finding,0.0240836
583,PAMAP2,fenwick,1.6875,20,60,dependent point finding,0.024731
589,PAMAP2,fenwick,2.53,20,60,dependent point finding,0.06075333333333333
595,PAMAP2,fenwick,3.8,20,60,dependent point finding,0.29564966666666664
616,PAMAP2,fenwick,5.7,20,60,dependent point finding,0.16713433333333336
637,PAMAP2,priority,0.02,20,60,dependent point finding,0.5571703333333332
643,PAMAP2,priority,0.5,20,60,dependent point finding,0.005661633333333333
649,PAMAP2,priority,0.75,20,60,dependent point finding,0.007730733333333333
655,PAMAP2,priority,1.125,20,60,dependent point finding,0.0088013
661,PAMAP2,priority,1.6875,20,60,dependent point finding,0.009697033333333334
667,PAMAP2,priority,2.53,20,60,dependent point finding,0.015227333333333334
673,PAMAP2,priority,3.8,20,60,dependent point finding,0.05827566666666667
694,PAMAP2,priority,5.7,20,60,dependent point finding,0.05261333333333334
715,PAMAP2,static,0.02,20,60,dependent point finding,5.88526
721,PAMAP2,static,0.5,20,60,dependent point finding,0.07063033333333334
727,PAMAP2,static,0.75,20,60,dependent point finding,0.10554466666666668
733,PAMAP2,static,1.125,20,60,dependent point finding,0.13111
739,PAMAP2,static,1.6875,20,60,dependent point finding,0.15887333333333334
745,PAMAP2,static,2.53,20,60,dependent point finding,0.15576633333333334
751,PAMAP2,static,3.8,20,60,dependent point finding,0.19828
772,PAMAP2,static,5.7,20,60,dependent point finding,0.20686000000000002
775,Query,fenwick,0.008,0,60,dependent point finding,0.014122433333333332
796,Query,fenwick,0.01,0,60,dependent point finding,0.438131
799,Query,fenwick,0.012,0,60,dependent point finding,0.014815666666666666
802,Query,fenwick,0.018,0,60,dependent point finding,0.014018366666666665
805,Query,fenwick,0.027,0,60,dependent point finding,0.015157533333333334
808,Query,fenwick,0.0405,0,60,dependent point finding,0.015980566666666668
811,Query,fenwick,0.081,0,60,dependent point finding,0.014040333333333333
814,Query,priority,0.008,0,60,dependent point finding,0.004623653333333333
835,Query,priority,0.01,0,60,dependent point finding,0.18643566666666667
838,Query,priority,0.012,0,60,dependent point finding,0.004735706666666666
841,Query,priority,0.018,0,60,dependent point finding,0.005098343333333334
844,Query,priority,0.027,0,60,dependent point finding,0.004601876666666667
847,Query,priority,0.0405,0,60,dependent point finding,0.004858336666666667
850,Query,priority,0.081,0,60,dependent point finding,0.004732926666666667
853,Query,static,0.008,0,60,dependent point finding,0.04805693333333333
874,Query,static,0.01,0,60,dependent point finding,1.057881
877,Query,static,0.012,0,60,dependent point finding,0.04692006666666667
880,Query,static,0.018,0,60,dependent point finding,0.04571306666666666
883,Query,static,0.027,0,60,dependent point finding,0.044452033333333335
886,Query,static,0.0405,0,60,dependent point finding,0.04025
889,Query,static,0.081,0,60,dependent point finding,0.03857166666666667
892,Sensor5,fenwick,0.003,5,60,dependent point finding,1.5971283333333333
898,Sensor5,fenwick,0.006,5,60,dependent point finding,0.8117453333333332
904,Sensor5,fenwick,0.012,5,60,dependent point finding,1.3076106666666667
910,Sensor5,fenwick,0.024,5,60,dependent point finding,2.6046133333333334
916,Sensor5,fenwick,0.048,5,60,dependent point finding,1.4881233333333335
922,Sensor5,fenwick,0.096,5,60,dependent point finding,1.722033333333333
928,Sensor5,fenwick,0.192,5,60,dependent point finding,1.6922566666666665
952,Sensor5,fenwick,0.2,5,60,dependent point finding,1.7676633333333334
955,Sensor5,fenwick,0.384,5,60,dependent point finding,2.8234100000000004
961,Sensor5,fenwick,0.768,5,60,dependent point finding,3.034143333333333
967,Sensor5,priority,0.003,5,60,dependent point finding,0.6515970000000001
973,Sensor5,priority,0.006,5,60,dependent point finding,0.641043
979,Sensor5,priority,0.012,5,60,dependent point finding,0.743286
985,Sensor5,priority,0.024,5,60,dependent point finding,0.922361
991,Sensor5,priority,0.048,5,60,dependent point finding,0.9378526666666667
997,Sensor5,priority,0.096,5,60,dependent point finding,0.9690583333333334
